Parça_Kodu,r_optimal,Q_optimal,SS_optimal,grid_r,grid_Q,ml_total_cost,ml_holding_cost,ml_ordering_cost,ml_stockout_cost,ml_service_level,ml_num_orders,ml_avg_inventory,r_eoq,Q_eoq,SS_eoq,eoq_total_cost,eoq_holding_cost,eoq_ordering_cost,eoq_stockout_cost,eoq_service_level,eoq_num_orders,eoq_avg_inventory,abs_saving,pct_saving,ABC,XYZ,Segment,Model_Grubu,champion,WAPE,sMAPE
Part-1741,277,35,19.8,281,39,14404.039687838542,6648.3780264082525,3100.0,4655.661661430288,0.977246442466838,146,57.86652833112477,818,47,533.8,71278.21428951007,68913.21428951007,2365.0,0.0,1.0,112,599.8107284563023,56874.174601671526,79.79180619013015,C,Z,CZ,Aralıklı_Croston,RandomForest,70.64678548179539,99.01553374510064
Part-1742,295,219,0.0,322,282,3725.9753665631224,1564.0431154563662,1185.0,976.9322511067561,0.9724638722584567,27,126.16099727812457,1049,206,752.4,11990.343806066003,10710.343806066003,1280.0,0.0,1.0,30,863.9324852439264,8264.36843950288,68.92519992063842,C,Z,CZ,Aralıklı_Croston,Croston-SBA,132.3732077125031,165.51297244220058
Part-1743,38,66,1.0,40,65,2399.298446887921,1263.281617907996,1000.0,136.0168289799248,0.9875965421999972,11,35.15091260442742,63,60,26.3,3211.428402574304,2051.428402574304,1160.0,0.0,1.0,13,57.08116026618319,812.1299556863833,25.28874550139041,C,Y,CY,Global_ML,RandomForest,35.848265521928674,48.33158315308417
Part-1744,123,142,8.6,125,109,916.9309227375021,507.51222096009485,350.0,59.41870177740704,0.9873440246242673,16,84.5853701600158,326,125,220.3,2082.4890856669085,1671.239085666908,411.25,0.0,1.0,18,278.53984761115134,1165.5581629294065,55.96947282708765,C,Z,CZ,Düşük_Hacim_Basit,RandomForest,96.98298048791162,134.55310525597585
Part-1745,1109,214,10.5,1198,165,31755.783018649334,9007.062391042818,4362.5,18386.220627606504,0.959481768822141,102,210.0782368907334,3053,209,2000.4,94845.83774075848,90188.33774075848,4657.5,0.0,1.0,109,2103.527893792122,63090.05472210914,66.51852756528208,C,Z,CZ,Aralıklı_Croston,XGBoost,73.46021688550536,100.61837306141143
Part-1746,11726,1752,0.0,12965,1783,6886763.725509351,1867533.4386965502,22880.0,4996350.286812801,0.941516585147004,133,1698.7614851471783,20785,275,9088.6,10422580.50551191,10266880.50551191,155700.0,0.0,1.0,907,9339.046259618783,3535816.7800025586,33.92458113547472,B,Y,BY,Global_ML,UstelDuzeltme,17.27181839800646,17.35787552667771
Part-1747,532,61,0.0,582,80,341772.611127489,127512.61544898784,14930.0,199329.99567850115,0.94810752412478,174,70.84034191610435,1185,27,809.5,1259134.0292572777,1223679.0292572777,35455.0,0.0,1.0,412,679.8216829207099,917361.4181297887,72.85653447639014,C,Z,CZ,Aralıklı_Croston,HareketliOrtalama,52.36488213938743,66.44535219438973
Part-1748,100,285,0.0,112,279,2745.114694008236,1263.212992148485,1372.5,109.40170185975073,0.9934965924752566,21,148.32710912456963,488,318,374.8,5961.598075808122,4697.848075808122,1263.75,0.0,1.0,19,551.6236996627829,3216.4833817998865,53.9533752678199,C,Z,CZ,Aralıklı_Croston,Croston-SBA,188.56773483303363,151.56921476025173
Part-1749,958,106,7.1,1037,143,531604.6841140244,191411.74803677274,3812.5,336380.4360772517,0.9505925289649054,177,138.21428574083853,2515,25,1511.1,2238344.038590162,2221275.288590162,17068.75,0.0,1.0,793,1603.9348712665387,1706739.3544761376,76.25009047095102,C,Z,CZ,Düşük_Hacim_Basit,RandomForest,34.92731264042656,51.136606547064325
Part-175,66609,8080,3328.9,69033,9492,1235161.9078883263,586052.9273932673,64000.0,585108.9804950593,0.9692265264543787,152,14330.323928825983,90626,5039,32125.2,1533416.4197730187,1424986.3319662795,106350.0,2080.087806739083,0.9998915457373319,256,34844.14935363556,298254.51188469236,19.450327258712996,A,X,AX,Global_ML,CatBoost,14.086212505742532,15.16619859650112
