Parça_Kodu,champion,votes,MAE,RMSE,WAPE,sMAPE
Part-1548,XGBoost,4,7894.0732421875,10080.476693784123,39.14416483729339,35.67464492770864
Part-1549,LightGBM,4,9075.932943089489,10075.869792058267,27.99442619049518,30.801366332240242
Part-155,LightGBM,4,9696.646885483075,11129.532164074415,31.28253342414774,34.37268087431383
Part-1550,LightGBM,4,19179.73476874982,21610.170497229887,11.532150634788024,12.30115322903821
Part-1551,HareketliOrtalama,3,1193.1666666666667,1290.4160181894829,142.92273906967458,157.84909434369425
Part-1552,Croston-SBA,2,996.0,1252.1071065387628,63.1979695431472,82.63268133788831
Part-1553,RandomForest,2,1161.594298910837,1332.103154054408,68.58458761528264,96.58845912173703
Part-1554,Croston-SBA,4,2303.8333333333335,2992.1599486258883,28.29972361551848,32.00599296320334
Part-1555,HareketliOrtalama,3,10458.444444444443,14506.181575069604,45.41949555340021,56.65479223731339
Part-1556,RandomForest,3,14815.584849814382,15632.597549261343,73.34932099386617,107.46850048876613
Part-1557,LightGBM,3,8668.838129791286,10219.663176836599,21.782277344043504,24.041871363807935
Part-1558,HareketliOrtalama,4,12692.055555555555,13874.585969798643,37.47156299769879,40.81303404219677
Part-1559,RandomForest,3,11119.686483520289,17771.020864577247,33.92233990467805,47.5329025740827
Part-156,RandomForest,3,5980.357134421953,8115.135087995443,20.660630149896768,21.397091757038748
Part-1560,RandomForest,4,10216.983839532686,11506.834541160211,36.376849516788084,36.83396327378434
Part-1561,Croston-SBA,3,11776.0,16525.165887692685,23.700841283258868,23.33409334731693
Part-1562,RandomForest,4,8287.264592278872,9507.57621548044,8.78941873355828,8.778056442604758
Part-1563,Croston-SBA,4,7849.056641741321,10843.086383423026,18.399963996768065,17.765986974730655
Part-1564,UstelDuzeltme,3,317.6118545175318,502.3181693821547,24.675270323775617,29.692658836608555
Part-1565,XGBoost,3,10900.029134114584,12176.172769128078,67.72447892126533,91.17466561488918
Part-1566,Croston-SBA,3,903.6666666666666,965.1787551043005,100.0,127.22136250290654
Part-1567,HareketliOrtalama,3,389.77777777777777,458.37199836910725,41.40698772426818,58.121548115247435
Part-1568,CatBoost,4,1086.0138898121731,1427.9726264912008,6.94537709725433,7.092361991441839
Part-1569,Croston-SBA,4,11640.427748919217,14223.77703983588,21.16903278700665,21.784835037085674
Part-157,HareketliOrtalama,4,33095.8888888889,42681.598460122266,17.80804145801348,17.84968422588941
Part-1570,RandomForest,3,677.6494784966452,937.027771097796,39.333432049723044,51.89208196343537
Part-1571,UstelDuzeltme,4,24859.52338866162,27583.381152158676,15.435392839310891,15.242613704387518
Part-1572,XGBoost,3,9473.2265625,13209.11171901448,38.99516971391328,49.29910277516613
Part-1573,RandomForest,4,17397.888491519345,25788.502244544692,15.447625741637596,21.092123965257738
Part-1574,XGBoost,2,534.6665445963541,582.8284334754628,98.46529366415362,116.60200153856444
Part-1575,HareketliOrtalama,4,491.3333333333333,685.8062570596904,15.689196381053753,16.882835049103306
Part-1576,HareketliOrtalama,3,144.5,227.81022804079714,32.953249714937286,44.77868111965477
Part-1577,CatBoost,3,14314.18247992603,15116.933927113814,50.93048465270896,73.99198575320159
Part-1578,HareketliOrtalama,3,43882.5,70627.46601594405,30.65080353660879,43.14207387887923
Part-1579,XGBoost,4,7291.158203125,9745.849110748211,30.0366982860723,33.19884031336303
Part-158,RandomForest,4,1716.4562699564692,2037.1863455160076,21.87590301146781,22.014761663220554
Part-1580,RandomForest,3,286.0190854406803,401.11899015801987,47.93615957106374,55.48840050303379
Part-1581,CatBoost,4,97.97141173045839,123.45544857405656,53.29360565573439,72.98898831846157
Part-1582,Croston-SBA,2,245.66666666666666,254.93980573276593,100.0,136.5600046098881
Part-1583,CatBoost,3,233.48834328476036,241.76021456036642,295.5548649174182,171.97051992361463
Part-1584,HareketliOrtalama,4,836.6666666666666,1229.0758045512625,25.690890481064482,24.80589516800483
Part-1585,RandomForest,3,688.0813103900992,762.1661685544477,100.67027218582287,123.96454034081219
Part-1586,RandomForest,2,35452.58661449234,42643.24141301453,23.222294361985256,24.502444391779687
Part-1587,HareketliOrtalama,4,6410.944444444445,10266.421996543448,13.125481270679712,12.504584461334476
Part-1588,RandomForest,4,12977.836133554418,15551.873365295312,26.878964704715823,26.946323290124695
Part-1589,RandomForest,4,997.6722551103436,1149.4760420645582,76.50860852073187,98.0580471626047
Part-159,HareketliOrtalama,3,23448.5,24523.948081416256,70.09351381782491,99.4906567132345
Part-1590,UstelDuzeltme,3,1554.508365079696,1621.1701974666646,70.65947113998618,100.62535159405247
Part-1591,CatBoost,3,823.1200189727533,989.803168918955,68.13907441827428,92.75450517557687
Part-1592,RandomForest,3,6877.379381465939,7513.351660050516,99.38170152162914,118.48093550584875
Part-1593,Croston-SBA,3,6379.945599421207,8234.61015074381,15.623144979175999,15.063213233338443
Part-1594,CatBoost,3,498.4420880910463,877.8995816354739,34.14766531795247,41.84718364798221
Part-1595,UstelDuzeltme,3,173.84588317418869,198.2748510503838,67.82024051008662,92.97374661600385
Part-1596,RandomForest,4,3225.692848152475,4134.10400877924,17.90907391473489,17.36059772481094
Part-1597,LightGBM,3,1409.3170021484584,1445.3750745721923,99.78642922929845,128.04968442485338
Part-1598,LightGBM,3,1522.830113230166,1540.6838017044472,144.89344559754198,155.3998502396204
Part-1599,UstelDuzeltme,3,574.0,729.1029420594272,23.31122241776093,24.9220347597246
